,L140,L149,L062,N048,N068,N090,N098,L005,L027,L031,L072,L074,L078,L102,L115,L133,L137
C16orf74,0.0101066396162,0.012267523999999998,0.007804549298779998,0.001626349,0.009925849434610001,0.009582641999999999,0.00263409264002,0.00103738297788,0.00331273519157,0.00112955372173,0.00450987,0.00112967101802,0.0012759330006999999,0.00111705753291,0.000927167,0.0008615218755680001,0.00212352631183
GBAS,0.029296258482,0.016310095,0.0152216138753,0.009127685,0.008494878723460001,0.015283891,0.014501417719000001,0.0024269899651300003,0.00497618872615,0.000419198462811,0.006226557,0.0017688039735899999,0.00188301618237,0.00275378822755,0.001084684,0.0048150126742,0.0111863288439
WASH1,0.0970653749601,0.08801439,0.0565165081157,0.051745493,0.0487856242449,0.088336179,0.0746368059739,0.0110249729913,0.017288935085,0.00350935773113,0.029500637000000003,0.024787921216000004,0.024018671354,0.0269201583243,0.017442618,0.027807300735299998,0.03738604631
CAMTA1,0.0013886905339,0.0014143029999999998,0.00077096564063,0.001051223,0.00023907699828000002,0.000828249,0.0013569612270400001,0.000303495499708,0.00219431306422,0.00017455417776099998,0.000322609,0.000213362964447,0.000494388476112,0.00020465157664500004,0.000362295,0.00068613209495,0.000759847765489
NDUFS3,0.0862373768837,0.074969772,0.06736195327990001,0.04561691,0.033552284803,0.071282773,0.0709588137639,0.00775664822979,0.015174217555799998,0.00378298765188,0.034308436,0.013516996552200001,0.00895382369167,0.0177500194929,0.00922431,0.017289103602599998,0.0576647415216
DNLZ,0.0393019594908,0.044169019000000004,0.0272641244702,0.018166815,0.0115919726003,0.014071341999999999,0.0284270100715,0.0019575516967500002,0.011404671653200001,0.00469984287192,0.008302805,0.00490203974176,0.00577447713579,0.00963024528965,0.007298636999999999,0.00765653849825,0.0064907699206800005
SLC25A46,0.034896141549699985,0.017436212,0.0134084397304,0.01033837,0.012787976656500001,0.023232947,0.022620662088500002,0.0035901705013099998,0.0045067167798599995,0.0014502100038800002,0.005066011,0.00199625356011,0.0023740346081999996,0.00388862167807,0.003430112,0.0029962781648600004,0.00813456720564
METRN,0.0988067583288,0.101221655,0.0823851895232,0.0497258,0.0543709563737,0.09588221699999999,0.0812292358705,0.047167728000499995,0.0485837348055,0.0352141710374,0.055821437,0.0442463774034,0.0407218346615,0.0405810998746,0.035049568999999996,0.0328630026992,0.054161962355500005
LPCAT3,0.0499690261082,0.030675567,0.0302038569785,0.039757756,0.0361440128299,0.050707246,0.0410145273254,0.032182757979200005,0.0274943948661,0.0183194745343,0.031597299,0.0166643441391,0.00852840489695,0.0206293383984,0.019187784,0.016006238691799998,0.0382205514219
LRRC23,0.142242274044,0.114807885,0.0821323666102,0.078684648,0.08042722182869999,0.140993441,0.10663653287799998,0.010247405195799999,0.0306728743156,0.0260338615026,0.042946122,0.06183786758780001,0.0298091166327,0.021988942536,0.022278147999999998,0.0321836116356,0.0377364139666
GID8,0.0960103247538,0.081561384,0.0631894972861,0.025422474,0.0209611615317,0.041497523,0.0539515751346,0.00750966976138,0.0120395587258,0.00596140842674,0.023679696,0.017672923873000002,0.011063410675899998,0.0151776284148,0.01574106,0.027342426253400002,0.0377703217174
TMA7,0.0223391372302,0.031040225,0.0136473260396,0.004644186,0.00746485480119,0.010092041,0.00965210650208,0.00157761355949,0.00226073217123,0.000857650750802,0.005205586,0.00183624769659,0.00157143762426,0.00178905714494,0.00061646,0.00257398337321,0.00527936633929
ACP1,0.00462618982867,0.003597315,0.0031582201627700004,0.001427635,0.00144751163842,0.002255025,0.00406171352422,0.00126195754426,0.00157488132743,0.000564586677226,0.000919908,0.00184601933811,0.0004342389430209999,0.00145144907316,0.001164506,0.0007271988008830001,0.00160682167535
